CMDLINE /opt/miniconda3/envs/jupyter/bin/python test.py
MEM 38.804688 1596199128.6722
MEM 38.820312 1596199128.7738
MEM 38.839844 1596199128.8740
MEM 38.855469 1596199128.9757
MEM 38.871094 1596199129.0808
MEM 38.886719 1596199129.1832
MEM 38.902344 1596199129.2876
MEM 38.921875 1596199129.3899
MEM 38.937500 1596199129.4915
MEM 38.953125 1596199129.5925
MEM 38.972656 1596199129.6976
MEM 38.988281 1596199129.7994
MEM 39.003906 1596199129.9019
MEM 39.019531 1596199130.0029
MEM 39.039062 1596199130.1045
MEM 39.054688 1596199130.2097
MEM 39.070312 1596199130.3122
MEM 39.089844 1596199130.4139
MEM 39.105469 1596199130.5154
MEM 39.117188 1596199130.6165
MEM 39.132812 1596199130.7193
MEM 39.148438 1596199130.8239
MEM 39.164062 1596199130.9258
MEM 39.179688 1596199131.0274
MEM 39.191406 1596199131.1285
MEM 39.207031 1596199131.2294
MEM 39.222656 1596199131.3312
MEM 39.238281 1596199131.4322
MEM 39.253906 1596199131.5334
MEM 39.265625 1596199131.6382
MEM 39.281250 1596199131.7397
MEM 39.296875 1596199131.8398
MEM 39.312500 1596199131.9442
MEM 39.324219 1596199132.0454
MEM 39.339844 1596199132.1464
MEM 39.355469 1596199132.2486
MEM 39.371094 1596199132.3495
MEM 39.386719 1596199132.4512
MEM 39.402344 1596199132.5531
MEM 39.414062 1596199132.6539
MEM 39.429688 1596199132.7549
MEM 39.445312 1596199132.8565
MEM 39.460938 1596199132.9567
MEM 39.476562 1596199133.0597
MEM 39.488281 1596199133.1612
MEM 39.503906 1596199133.2632
MEM 39.519531 1596199133.3637
MEM 39.535156 1596199133.4665
MEM 39.550781 1596199133.5712
MEM 39.566406 1596199133.6724
MEM 39.582031 1596199133.7765
MEM 39.597656 1596199133.8806
MEM 39.613281 1596199133.9808
MEM 39.628906 1596199134.0860
MEM 39.644531 1596199134.1899
MEM 39.664062 1596199134.2942
MEM 39.679688 1596199134.3974
MEM 39.695312 1596199134.4992
MEM 39.710938 1596199134.5998
MEM 39.726562 1596199134.7020
MEM 39.742188 1596199134.8035
MEM 39.761719 1596199134.9037
MEM 39.777344 1596199135.0058
MEM 39.792969 1596199135.1066
MEM 39.808594 1596199135.2088
MEM 39.828125 1596199135.3140
MEM 39.843750 1596199135.4177
MEM 39.859375 1596199135.5225
MEM 39.878906 1596199135.6277
MEM 39.894531 1596199135.7300
MEM 39.910156 1596199135.8352
MEM 39.929688 1596199135.9393
MEM 39.945312 1596199136.0436
MEM 39.960938 1596199136.1470
MEM 39.976562 1596199136.2478
MEM 39.992188 1596199136.3503
MEM 40.011719 1596199136.4535
MEM 40.027344 1596199136.5536
MEM 40.042969 1596199136.6569
MEM 40.058594 1596199136.7606
MEM 40.074219 1596199136.8611
MEM 40.093750 1596199136.9633
MEM 40.109375 1596199137.0670
MEM 40.125000 1596199137.1700
MEM 40.144531 1596199137.2734
MEM 40.160156 1596199137.3743
MEM 40.175781 1596199137.4794
MEM 40.195312 1596199137.5799
MEM 40.210938 1596199137.6830
MEM 40.226562 1596199137.7832
MEM 40.242188 1596199137.8836
MEM 40.257812 1596199137.9879
MEM 40.277344 1596199138.0884
MEM 40.292969 1596199138.1900
MEM 40.308594 1596199138.2951
MEM 40.324219 1596199138.3976
MEM 40.343750 1596199138.5019
MEM 40.359375 1596199138.6021
MEM 40.375000 1596199138.7048
MEM 40.390625 1596199138.8087
MEM 40.406250 1596199138.9106
MEM 40.421875 1596199139.0109
MEM 40.441406 1596199139.1149
MEM 40.457031 1596199139.2191
MEM 40.472656 1596199139.3207
MEM 40.492188 1596199139.4230
MEM 40.507812 1596199139.5234
MEM 40.523438 1596199139.6280
MEM 40.539062 1596199139.7288
MEM 40.558594 1596199139.8327
MEM 40.574219 1596199139.9378
MEM 40.589844 1596199140.0430
MEM 40.609375 1596199140.1456
MEM 40.625000 1596199140.2480
MEM 40.640625 1596199140.3497
MEM 40.656250 1596199140.4506
MEM 40.675781 1596199140.5516
MEM 40.691406 1596199140.6540
MEM 40.707031 1596199140.7568
MEM 40.722656 1596199140.8619
MEM 40.738281 1596199140.9628
MEM 40.753906 1596199141.0633
MEM 40.769531 1596199141.1636
MEM 40.785156 1596199141.2659
MEM 40.800781 1596199141.3687
MEM 40.820312 1596199141.4722
MEM 40.835938 1596199141.5761
MEM 40.851562 1596199141.6781
MEM 40.867188 1596199141.7824
MEM 40.886719 1596199141.8875
MEM 40.902344 1596199141.9920
