CMDLINE /opt/miniconda3/envs/jupyter/bin/python test.py
MEM 0.011719 1596198765.7326
MEM 16.777344 1596198765.8336
MEM 28.929688 1596198765.9374
MEM 36.437500 1596198766.0414
MEM 36.632812 1596198766.1465
MEM 36.679688 1596198766.2468
MEM 36.695312 1596198766.3481
MEM 36.699219 1596198766.4514
MEM 36.781250 1596198766.5555
MEM 36.800781 1596198766.6604
MEM 36.816406 1596198766.7652
MEM 36.832031 1596198766.8654
MEM 36.847656 1596198766.9687
MEM 36.867188 1596198767.0697
MEM 36.882812 1596198767.1747
MEM 36.898438 1596198767.2794
MEM 36.917969 1596198767.3829
MEM 36.933594 1596198767.4855
MEM 36.949219 1596198767.5872
MEM 36.964844 1596198767.6923
MEM 36.984375 1596198767.7935
MEM 37.000000 1596198767.8987
MEM 37.015625 1596198768.0008
MEM 37.031250 1596198768.1028
MEM 37.046875 1596198768.2035
MEM 37.066406 1596198768.3055
MEM 37.082031 1596198768.4107
MEM 37.097656 1596198768.5152
MEM 37.117188 1596198768.6203
MEM 37.132812 1596198768.7237
MEM 37.148438 1596198768.8282
MEM 37.167969 1596198768.9327
MEM 37.183594 1596198769.0328
MEM 37.191406 1596198769.1375
MEM 37.191406 1596198769.2381
MEM 37.191406 1596198769.3432
MEM 37.191406 1596198769.4434
MEM 37.757812 1596198769.5463
MEM 37.773438 1596198769.6503
MEM 37.789062 1596198769.7518
MEM 37.804688 1596198769.8522
MEM 37.820312 1596198769.9548
MEM 37.839844 1596198770.0599
MEM 37.855469 1596198770.1608
MEM 37.871094 1596198770.2652
MEM 37.890625 1596198770.3667
MEM 37.906250 1596198770.4708
MEM 37.921875 1596198770.5719
MEM 37.937500 1596198770.6759
MEM 37.953125 1596198770.7802
