CMDLINE /opt/miniconda3/envs/jupyter/bin/python test.py
MEM 0.011719 1596199056.9593
MEM 16.089844 1596199057.0635
MEM 28.527344 1596199057.1685
MEM 36.449219 1596199057.2698
MEM 36.679688 1596199057.3743
MEM 36.707031 1596199057.4791
MEM 36.753906 1596199057.5794
MEM 36.765625 1596199057.6829
MEM 36.781250 1596199057.7844
MEM 36.792969 1596199057.8884
MEM 36.808594 1596199057.9917
MEM 36.824219 1596199058.0952
MEM 36.839844 1596199058.1992
MEM 36.851562 1596199058.3004
MEM 36.867188 1596199058.4040
MEM 36.882812 1596199058.5074
MEM 36.894531 1596199058.6076
MEM 36.910156 1596199058.7124
MEM 36.921875 1596199058.8128
MEM 36.937500 1596199058.9157
MEM 36.953125 1596199059.0199
MEM 36.968750 1596199059.1217
MEM 36.984375 1596199059.2233
MEM 37.000000 1596199059.3272
MEM 37.015625 1596199059.4285
MEM 37.031250 1596199059.5300
MEM 37.046875 1596199059.6310
MEM 37.058594 1596199059.7325
MEM 37.074219 1596199059.8363
MEM 37.089844 1596199059.9385
MEM 37.109375 1596199060.0433
MEM 37.125000 1596199060.1485
MEM 37.140625 1596199060.2515
MEM 37.156250 1596199060.3539
MEM 37.175781 1596199060.4555
MEM 37.191406 1596199060.5581
MEM 37.207031 1596199060.6606
MEM 37.222656 1596199060.7608
MEM 37.234375 1596199060.8611
MEM 37.250000 1596199060.9620
MEM 37.269531 1596199061.0643
MEM 37.285156 1596199061.1651
MEM 37.300781 1596199061.2657
MEM 37.316406 1596199061.3673
MEM 37.332031 1596199061.4699
MEM 37.347656 1596199061.5751
MEM 37.363281 1596199061.6756
MEM 37.378906 1596199061.7758
MEM 37.394531 1596199061.8762
MEM 37.406250 1596199061.9786
MEM 37.421875 1596199062.0806
MEM 37.437500 1596199062.1811
MEM 37.457031 1596199062.2847
MEM 37.472656 1596199062.3886
MEM 37.476562 1596199062.4937
MEM 37.476562 1596199062.5965
MEM 37.476562 1596199062.6967
MEM 37.476562 1596199062.8017
MEM 37.476562 1596199062.9034
MEM 37.476562 1596199063.0041
MEM 37.476562 1596199063.1079
MEM 37.476562 1596199063.2082
MEM 37.476562 1596199063.3133
MEM 37.476562 1596199063.4164
MEM 37.476562 1596199063.5202
MEM 37.476562 1596199063.6225
MEM 37.476562 1596199063.7240
MEM 37.476562 1596199063.8258
MEM 37.476562 1596199063.9265
MEM 37.476562 1596199064.0270
MEM 37.476562 1596199064.1300
MEM 37.476562 1596199064.2316
MEM 37.476562 1596199064.3320
MEM 37.476562 1596199064.4325
MEM 37.476562 1596199064.5327
MEM 37.476562 1596199064.6373
MEM 37.476562 1596199064.7376
MEM 37.476562 1596199064.8387
MEM 37.476562 1596199064.9401
MEM 37.476562 1596199065.0423
MEM 37.476562 1596199065.1429
MEM 37.476562 1596199065.2438
MEM 37.476562 1596199065.3460
MEM 37.476562 1596199065.4488
MEM 37.476562 1596199065.5538
MEM 37.476562 1596199065.6554
MEM 37.476562 1596199065.7598
MEM 37.476562 1596199065.8645
MEM 37.476562 1596199065.9689
MEM 37.476562 1596199066.0700
MEM 37.476562 1596199066.1726
MEM 37.476562 1596199066.2729
MEM 37.476562 1596199066.3768
MEM 37.476562 1596199066.4770
MEM 37.476562 1596199066.5789
MEM 37.476562 1596199066.6818
MEM 37.476562 1596199066.7867
MEM 36.960938 1596199066.8887
MEM 36.960938 1596199066.9928
MEM 36.960938 1596199067.0930
MEM 36.960938 1596199067.1968
MEM 36.960938 1596199067.2979
MEM 36.960938 1596199067.4009
MEM 36.960938 1596199067.5061
MEM 36.960938 1596199067.6075
MEM 36.960938 1596199067.7087
MEM 36.960938 1596199067.8101
MEM 36.792969 1596199067.9116
MEM 36.792969 1596199068.0128
MEM 36.792969 1596199068.1139
MEM 36.816406 1596199068.2155
