CMDLINE /opt/miniconda3/envs/jupyter/bin/python test.py
MEM 0.011719 1596198842.5744
MEM 16.613281 1596198842.6763
MEM 28.445312 1596198842.7765
MEM 36.480469 1596198842.8768
MEM 36.671875 1596198842.9784
MEM 36.734375 1596198843.0800
MEM 36.750000 1596198843.1815
MEM 36.765625 1596198843.2826
MEM 36.785156 1596198843.3861
MEM 36.800781 1596198843.4908
MEM 36.816406 1596198843.5920
MEM 36.832031 1596198843.6956
MEM 36.851562 1596198843.7974
MEM 36.867188 1596198843.8991
MEM 36.882812 1596198844.0028
MEM 36.898438 1596198844.1040
MEM 36.917969 1596198844.2091
MEM 36.933594 1596198844.3132
MEM 36.949219 1596198844.4135
MEM 36.964844 1596198844.5147
MEM 36.984375 1596198844.6190
MEM 37.000000 1596198844.7196
MEM 37.019531 1596198844.8242
MEM 37.035156 1596198844.9279
MEM 37.050781 1596198845.0320
MEM 37.066406 1596198845.1339
MEM 37.085938 1596198845.2346
MEM 37.101562 1596198845.3360
MEM 37.117188 1596198845.4373
MEM 37.132812 1596198845.5384
MEM 37.152344 1596198845.6414
MEM 37.167969 1596198845.7429
MEM 37.183594 1596198845.8449
MEM 37.203125 1596198845.9493
MEM 37.218750 1596198846.0522
MEM 37.234375 1596198846.1571
MEM 37.250000 1596198846.2587
MEM 37.269531 1596198846.3634
MEM 37.285156 1596198846.4668
MEM 37.300781 1596198846.5697
MEM 37.316406 1596198846.6699
MEM 37.957031 1596198846.7741
MEM 37.976562 1596198846.8774
MEM 37.992188 1596198846.9785
MEM 38.007812 1596198847.0801
MEM 38.027344 1596198847.1840
MEM 38.042969 1596198847.2878
MEM 38.058594 1596198847.3914
MEM 38.078125 1596198847.4926
MEM 38.093750 1596198847.5958
MEM 38.093750 1596198847.6961
MEM 38.093750 1596198847.8003
MEM 38.093750 1596198847.9014
MEM 38.093750 1596198848.0039
MEM 38.093750 1596198848.1041
MEM 38.093750 1596198848.2052
MEM 38.093750 1596198848.3068
MEM 38.093750 1596198848.4119
MEM 38.093750 1596198848.5143
MEM 38.093750 1596198848.6192
MEM 38.093750 1596198848.7194
MEM 38.093750 1596198848.8227
MEM 38.093750 1596198848.9230
MEM 38.093750 1596198849.0261
MEM 38.093750 1596198849.1268
MEM 38.093750 1596198849.2296
MEM 38.093750 1596198849.3308
MEM 38.093750 1596198849.4319
MEM 38.093750 1596198849.5335
MEM 38.093750 1596198849.6371
MEM 38.093750 1596198849.7417
MEM 38.093750 1596198849.8440
MEM 38.093750 1596198849.9470
MEM 38.093750 1596198850.0507
MEM 38.093750 1596198850.1514
MEM 38.093750 1596198850.2557
MEM 38.093750 1596198850.3558
MEM 38.093750 1596198850.4563
