CMDLINE /opt/miniconda3/envs/jupyter/bin/python test.py
MEM 0.011719 1596198886.4520
MEM 16.546875 1596198886.5526
MEM 28.449219 1596198886.6535
MEM 36.457031 1596198886.7556
MEM 36.640625 1596198886.8567
MEM 36.667969 1596198886.9599
MEM 36.703125 1596198887.0635
MEM 36.703125 1596198887.1660
MEM 36.781250 1596198887.2671
MEM 36.800781 1596198887.3687
MEM 36.816406 1596198887.4688
MEM 36.832031 1596198887.5714
MEM 36.847656 1596198887.6730
MEM 36.863281 1596198887.7740
MEM 36.878906 1596198887.8791
MEM 36.898438 1596198887.9826
MEM 36.914062 1596198888.0845
MEM 36.925781 1596198888.1886
MEM 36.945312 1596198888.2917
MEM 36.960938 1596198888.3932
MEM 36.976562 1596198888.4946
MEM 36.992188 1596198888.5954
MEM 37.007812 1596198888.6965
MEM 37.023438 1596198888.7980
MEM 37.042969 1596198888.9031
MEM 37.058594 1596198889.0036
MEM 37.074219 1596198889.1068
MEM 37.089844 1596198889.2084
MEM 37.105469 1596198889.3101
MEM 37.121094 1596198889.4123
MEM 37.140625 1596198889.5170
MEM 37.156250 1596198889.6179
MEM 37.171875 1596198889.7205
MEM 37.187500 1596198889.8221
MEM 37.203125 1596198889.9251
MEM 37.218750 1596198890.0279
MEM 37.238281 1596198890.1282
MEM 37.253906 1596198890.2320
MEM 37.824219 1596198890.3322
MEM 37.839844 1596198890.4337
MEM 37.855469 1596198890.5368
MEM 37.871094 1596198890.6409
MEM 37.886719 1596198890.7447
MEM 37.902344 1596198890.8456
MEM 37.917969 1596198890.9507
MEM 37.933594 1596198891.0559
MEM 37.953125 1596198891.1606
MEM 37.968750 1596198891.2621
MEM 37.984375 1596198891.3643
MEM 38.000000 1596198891.4671
MEM 38.015625 1596198891.5697
MEM 38.023438 1596198891.6708
MEM 38.023438 1596198891.7716
MEM 38.023438 1596198891.8763
MEM 38.023438 1596198891.9768
MEM 38.023438 1596198892.0791
MEM 38.023438 1596198892.1794
MEM 38.023438 1596198892.2815
MEM 38.023438 1596198892.3828
MEM 38.023438 1596198892.4834
MEM 38.023438 1596198892.5836
MEM 38.023438 1596198892.6846
MEM 38.023438 1596198892.7848
MEM 38.023438 1596198892.8857
MEM 38.023438 1596198892.9901
MEM 38.023438 1596198893.0917
MEM 38.023438 1596198893.1923
MEM 38.023438 1596198893.2936
MEM 38.023438 1596198893.3939
MEM 38.023438 1596198893.4980
MEM 38.023438 1596198893.5982
MEM 38.023438 1596198893.7015
MEM 38.023438 1596198893.8027
MEM 38.023438 1596198893.9032
MEM 38.023438 1596198894.0034
MEM 38.023438 1596198894.1082
MEM 38.023438 1596198894.2112
MEM 38.023438 1596198894.3117
MEM 38.023438 1596198894.4138
